Time,PacketSize,Protocol,Sender,Receiver
1.26796,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.26955,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.27119,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2724,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.27376,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.27505,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.27652,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.27837,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.27978,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.28126,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2825,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.28354,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.28517,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.28637,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2878,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.28929,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.29065,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.29201,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.29326,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.29509,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.29622,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.2973,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.29889,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.30057,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.30172,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.30304,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.30409,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.30513,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.30644,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.30773,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.30902,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.31075,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.31233,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.31338,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.31483,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.31655,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.31808,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.31935,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.32047,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.32166,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.32317,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.32468,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.32599,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.32741,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.32869,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.33007,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.33193,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
1.33311,540,2048,01-06-00:00:00:00:00:01,01-06-00:00:00:00:00:03
